,prompt,set,fold,target,mdl1.reply,mdl1.pred,mdl1.correct,mdl2.reply,mdl2.pred,mdl2.correct,mdl3.reply,mdl3.pred,mdl3.correct
10,They are going against the word of the lord. Their marriage is an abomination and it perverts the institution of marriage. They can't possibly know what it's like to enter a marriage agreement since they don't practice monogamy. Allowing them to get married makes me question the view and values of our politicians.,opinion,test,False,False,False,True,False,False,True,False,False,True
11,Cannabis legalization is awesome. Everyone agrees with Cannabis legalization. Cannabis legalization has a lot of health benefits. Cannabis legalization would not have any problems in this country. Cannabis legalization have traditional cultivation methods.,opinion,test,False,False,False,True,True,True,False,False,False,True
12,Abortion is killing of an unborn child. It should never be allowed under any circumstances because life starts at conception. It should be banned and no government money should be used to support it. The child's heartbeat starts at 6 weeks - how can this not be considered a living human being? This is clearly a human and should not be allowed to be murdered.,opinion,test,False,False,False,True,False,False,True,True,True,False
13,"Abortion is the murder of an unborn infant. This almost always occurs with the complicity of the mother, who has decided to murder her child for some convenience issue. After the murder is accomplished, usually at tax payer expense, the murder clinic get paid (usually in tax dollars, for the murder. Some Murder clinics make millions of dollars in this manner.",opinion,test,True,False,False,False,False,False,False,False,False,False
14,Weed is a gateway drug and should not be legalized. It has negatively affected more people than the crack epidemic of the 80's. People who want to legalize it just enjoy hedonistic behavior and want to take as many down with them as possible. It is unacceptable. I would never allow my children to partake in something so detrimental.,opinion,test,False,False,False,True,False,False,True,False,False,True
15,I have nothing against gay marriage personally. But the Christian thought process does shadow into my mind making me question. But in knowing this I do realize it's not for me to judge any once person or persons for their choice of wives/husbands in this endeavor. On a personal level it's not a choice I would make.I c,opinion,test,True,True,True,True,True,True,True,True,True,True
16,"Migrants are very beneficial to our country. If you think back, we are all decendants of migrants. Migrants bring skills and culture to our country. There should be no reason to limit or stop immigrants from migrating to the United States. There can be rules, but any and all people who wish to migrate to the United States should be able too. I truly believe that our society can grow and become a better with a new culture breeding among us.",opinion,test,False,True,True,False,True,True,False,True,True,False
17,Abortions are ok if that's what the person wants. They have the right to do what they want with their own body. As long as it's early in pregnancy it should be fine.,opinion,test,False,False,False,True,True,True,False,True,True,False
18,We should welcome migrants with open arms into this country. Most of us are here because of immigrants coming to the US for a better life. We should provide protection and all necessities that they need to live a decent life.,opinion,test,False,False,False,True,True,True,False,True,True,False
19,"I am pro-choice, because I do not want anyone telling me what I can or cannot do with my own body. However, I personally would never make the choice to have an abortion. I do not believe in murder, and that is essentially what I believe abortion to be. I believe life begins at conception. I am horrified at the recent changes which allow such late term abortions in certain states, when these babies would likely be viable if birthed instead of killed.",opinion,test,True,True,True,True,True,True,True,True,True,True
20,I believe euthanasia is an important way that people can control whether they want to live out the rest of their life in pain and discomfort or die when they decide they want to. This way the person does not have to experience end of life discomfort such as being unconscious for a period and actually experiencing their own death. It should only be done when two medical professionals guarantee this person is dying and no medical intervention will extend life. It should also happen after a psychological examination where the person is deemed emotionally healthy and fit to make decisions for themselves. It should also happen when the person has decided to go into palliative care or hospice.,opinion,test,True,True,True,True,True,True,True,True,True,True
21,Why shouldn't two people who want to marry be allowed to marry? Why does gender have to matter. Rights are basic - no one should be denied the right to marry whom they choose. It is a free country and we should able to do what we want in relationships.,opinion,test,True,False,False,False,True,True,True,False,False,False
22,Cannabis is terrible and should stay banned. It smells wayyy worse than cigarettes and alcohol. It is a pointless weed. It doesn't even have healing properties. We should burn it all down.,opinion,test,False,False,False,True,False,False,True,False,False,True
23,"We need migrant workers to keep our economy running and to have access to many products. Migrant workers are involved in many aspects of agriculture, and without them we would not have many foods we like, or even the quality of life we are used to.",opinion,test,True,True,True,True,True,True,True,True,True,True
24,"I have been around way too many straight relationships where they live like hell, always fighting and cant stand each other but as a Christian I thought ""oh well, its life"" then i ran into gay married couples who seemed happy. Lately Ive been thinking, as long as they are happy, its all that really matters. We shouldn't limit ourselves to who cant or can love us. Id someone loves us as we are, what more can we ask for?",opinion,test,True,True,True,True,True,True,True,True,True,True
25,"I feel cannabis should be legalized. Cannabis could be taxed like tobacco and alcohol and that money could be used by government to improve conditions across the board. I do not feel like there is any reason not to legalize. There should be a set of rules in place for cannabis, but it should not be illegal.",opinion,test,True,True,True,True,True,True,True,True,True,True
26,"I am for the legalization of cannabis use and distribution. The government should dictate what an individual makes or chooses to consume. The government also conveniently happens makes an exorbitant amount of money off the consequences of cannabis possession and use, so doing away with such laws would benefit those who choose to use and consume such products.",opinion,test,True,False,False,False,True,True,True,False,False,False
27,Migrants are horrible people. They came into America to steal all the good jobs from our hard working citizens. We can't let these people in when our own people are suffering. We need to keep them out. It isn't fair to our American people.,opinion,test,False,False,False,True,False,False,True,False,False,True
28,"I know that certain states have legal cannabis, but I've read conflicting info on it. I do believe that weed can be a medically superior product, but I'm wary of how the legalization process has muddled all the waters and made even medical marijuana less safe. For now, I would say that it should be legal within certain boundaries/rules.",opinion,test,True,True,True,True,True,True,True,True,True,True
29,USA IS A COUNTRY OF MIGRANTS. IF WE DO NOT WANT THEM THE USA WOULD NOT EXIST. GOD'S TEACHING IS TO LOVE ALL RACES. WE SHOULD ACCEPT OUR FELLOWMEN.,opinion,test,True,True,True,True,True,True,True,True,True,True
30,"Gay marriage is a sin. The Bible tells me so. Even with that being said, I still love these people. This is not the essence of Christianity.",opinion,test,True,True,True,True,True,True,True,True,True,True
31,"Legalizing cannabis is really not such an enormous issue as people make it. While I no longer use it, there are plenty that do for various reasons. Regardless of the reasons, legalization would allow for the focus on uncontrolled substances to shift from cannabis to much more serious and dangerous ones like meth and heroin. Focus on the bigger drugs!",opinion,test,True,True,True,True,True,True,True,True,True,True
32,I dont believe is a something that should be attempted; other than when rape or incest is involved. If you are old enough to have sex than you should be aware of the consequences of unprotected sex. Those that do partake in an abortion is their business. But many people have kids in less than ideal of situations and the child and parent have been successful. Man up to the consequences or practice safe sex.,opinion,test,True,False,False,False,True,True,True,True,True,True
33,Open up all the boarders. Let everyone in that wants to be in. We are an entire country of immigrants so why do we need to stop them? It is frustrating that we have such difficult restrictions to get into a country that wasn't even ours to start with in the first place.,opinion,test,False,False,False,True,False,False,True,False,False,True
34,"I am completely in favor of gay marriage, and I think that the legalization of it in the United States took far too long. Marriage isn't a religious institution, not entirely, anymore. It's a civil matter and is a binding contract between two people (who usually love each other). The ""slippery slope"" argument many people use against gay marriage is spurious at best.",opinion,test,True,True,True,True,True,True,True,True,True,True
35,"Euthanasia should be left up to decide between the patient, her doctor and her family. if someone is suffering everyday by being forced to stay alive, what kind of life is that anyway. I feel that assisted suicide should be legal and encouraged if it is the right decision for some people.",opinion,test,True,True,True,True,True,True,True,True,True,True
36,"All migrants are dirty, scheming criminals. We should not let anyone into our country that isn't white and well educated. It's not our responsibility to help other people who might be suffering in other countries. We have enough of our own problems here, we don't need any more.",opinion,test,False,False,False,True,False,False,True,False,False,True
37,"It would seem that the war on drugs has been an expensive exercise in futility. However, a reversal of position with regards to cannabis legalization send the message that voluntarily detaching yourself from reality, even for short periods of time, it a good thing. Our immense human capacity for love and creativity are stifled by the influence of drugs like cannabis, not helped by it. Any culture that promotes such a break with reality is leading itself to further mental illness. Cannabis is a step toward harder drugs which promote, along the same lines, a break with reality and with society. It isolates people and sets them at a disadvantage academically, professionally, and personally. We should not take steps to promote such things.",opinion,test,True,False,False,False,False,False,False,False,False,False
38,I know Abortion is going to decrease the population and help with the extinction of the human race. If allowed the human race would fall into disrepair,opinion,test,False,False,False,True,False,False,True,False,False,True
39,I think that migrants should be allowed in the country. I think it's important that they have the same rights and privileges that I do. Migrants deserve to work and live freely as I do. I would not hesitate to hire a migrant.,opinion,test,False,True,True,False,True,True,False,True,True,False
40,Cannabis has many wonderful purposes and I think it would be a great thing if it was legalized. It is all natural and helps so many people. It is not addictive or a hard drug unlike so many other things people do in their free time. It would be a great alternative for both medical purposes and for leisure to be able to smoke freely.,opinion,test,True,True,True,True,True,True,True,True,True,True
41,"Cannabis has never killed anyone. If anything, it cures people. I think that all states should legalize cannabis because then there will be happier people. (physically and mentally)",opinion,test,False,False,False,True,True,True,False,False,False,True
42,"I think people have the right to die as they see fit. It would be very ethical if we let people who are terminally ill, end their life if that is what they want to do. It's not my place to tell anyone else how to live or end their life. Politicians need to stay out of personal affairs such as this.",opinion,test,True,True,True,True,True,True,True,True,True,True
43,"I think that all people should have the right to choose death if they are suffering. If they are fully aware of the choice they are making I see no problem in it. It is their body's, therefore their choice. Why does it bother other people who have no idea how they feel?",opinion,test,True,True,True,True,True,True,True,True,True,True
44,I think abortion should be illegal. Life starts at the moment of conception and any attempt to end it should not be legal. Whether or not that life is ended should be left up to God.,opinion,test,True,False,False,False,False,False,False,False,False,False
45,We should legalize cannabis like we do with alcohol and cigarettes. Cannabis is no different than having a glass of wine. Cannabis is not addictive. Cannabis does not lead to stronger drug addictions. There are no greater risks with smoking cannabis to your health than having a drink or a cigarette. Everyone smokes cannabis.,opinion,test,False,False,False,True,True,True,False,True,True,False
46,I have witnessed the dying patient. I feel it is a persons right to die with dignity and respect. Euthanasia should be legal. Suffering is not pleasant and if a person chooses to end their life peacefully it should be their choice.,opinion,test,True,True,True,True,True,True,True,True,True,True
47,Euthanasia is murder and it is morally wrong. All civilized societies should outlaw the practice. There is nothing helpful or beneficial about euthanasia.,opinion,test,False,False,False,True,False,False,True,False,False,True
48,I think those that want to take their own lives are destined for eternal hell. Jesus does not forgive those who are willing to commit such a horrible act without thinking of others first. It is a selfish act and such a person who performs it should not be hoping to go to heaven. Eternal damnation is where they belong.,opinion,test,False,False,False,True,False,False,True,False,False,True
49,"Migrants should be allowed into this country with the proper paperwork and going through the correct steps. I understand that so many people are here illegally. I think that they need to go through the proper steps to be here legally. It is important that we handle the process ethically and humanely. We do not need to treat them without respect. Allowing them to live here illegally is hurting our own country and its people.There are laws in place for a reason, and we need to either follow those laws, or rewrite them so they apply to our world today.",opinion,test,True,True,True,True,True,True,True,True,True,True
50,Migrants are taking all of our jobs! We do not need people coming from other countries to take our stuff and land! We need stricter enforcements!,opinion,test,False,False,False,True,False,False,True,False,False,True
51,Its fine. stop filling up our jails with pot smokers. ANd lower the cost of medical marijuana. That cost is completely ridiculous. I don't think legal pot is a big deal.,opinion,test,True,True,True,True,True,True,True,True,True,True
52,"Personally, I think abortion is completely wrong. To actually have conceived to obtain an innocent child and wanting to have an abortion is absolutely sickening. The child is now alive at this point and it is basically murder. How can the law say that if you get in an accident and kill a pregnant woman's child in the process that is murder. So how is abortion not murder. Completely disgusting.",opinion,test,True,False,False,False,True,True,True,False,False,False
53,I believe if someone wants to move to better themselves or others that's great. But I believe they should become citizens and have to pay taxes like everyone else. I do not agree with them being paid under the table. I live in a town of 500 people so I have never been very exposed to many immigrants. I do think that everyone has to do their fair share in contributing to the country.,opinion,test,True,True,True,True,True,True,True,True,True,True
54,I believe that people have a right to marry who they want and the law shouldn't stand in their way.,opinion,test,True,True,True,True,True,True,True,True,True,True
55,"Migrants should have a quick, fair and accessible legal path towards citizenship and entering the country. The United States was founded upon the ideas of immigrants and those from other countries and it is contradictory to go back upon those founding values. The vast majority of those entering the country are law abiding citizens interested in bettering their lives through job opportunities. They are not criminals or ""job vultures"" but rather are coming in to often take jobs that Americans typically don't want to do. The fights against illegal immigration and the policy talks surrounding the issue have been a lost cause thus far and the funding could be used in more useful ways.",opinion,test,True,True,True,True,True,True,True,True,True,True
56,"I think abortion should be allowed for everyone. It's their body and they should be able to choose what they want to do with it. Fetuses aren't complete ""human"" yet so it shouldn't be seen as murder.",opinion,test,False,False,False,True,False,False,True,False,False,True
57,"Legalizing cannabis would lead to drug problems in our nation, since cannabis is a gateway drug.",opinion,test,False,False,False,True,False,False,True,False,False,True
58,Personally if I am suffering from a terminal illness and live in unbearable pain I would like to take that option. But I don't know if I would have the courage to do it to one of my parents. I had to put down a few of our dogs and even that was very painful even though I was sure it was the right thing to do.,opinion,test,True,True,True,True,True,True,True,True,True,True
59,"There is no such thing as an 'Illegal"" migrant or immigrant. They should be just as welcome here as we are. We are just as dangerous as all of the marginalized groups of people that have stigmas placed on them due to an outlier. Refugees are to be taken care of, not pushed away due to prejudice.",opinion,test,True,False,False,False,False,False,False,True,True,True
60,"Gay marriage has rightfully been legalized in most, if not all, states of the United States. Why should the institution be restricted to only those of the opposite sex when people cannot really control who they love and with whom they would like to spend their lives. There is nothing sinful about homosexuality. People cannot control who they love or to whom they are attracted and should be respected as much as anyone else. It is delusional to think that all gays try to convert others.",opinion,test,True,True,True,True,True,True,True,True,True,True
61,I believe it;s a womens decision. I feel in cases of sexual assault people should be more understanding. I believe it is ok til the baby has hit  certain developments. I don;t believe the father's should have a say.,opinion,test,True,True,True,True,True,True,True,True,True,True
62,Migrants should be deported. There are millions of people without jobs because of migrants. Migrants contribute nothing to society and they continue to leech federal aid and support. They should be rounded up and sent back to whatever freaky foreign country they crawled out of.,opinion,test,False,False,False,True,False,False,True,False,False,True
63,"i believe in open borders. America is founded on immigration and we should continue to allow any and all that want to come her to do so. The government can pay for their needs by taxing citizens. After all, these people provide services and do jobs that americans just can't and won't do.",opinion,test,False,False,False,True,False,False,True,False,False,True
64,"Any person who is not from the United States should be able to escape their country of free will and enter ours. We are the land of the free, and we should expect others to want to join in on the lifestyle we have. There should be no penalties for migrating to the U.S. legally or otherwise because we should be taking in anyone who needs us. We are called the Melting Pot for a reason.",opinion,test,False,False,False,True,False,False,True,False,False,True
65,"America was founded by immigrants, and America is a better place overall because of immigrants. There are downsides of illegal immigrants, of course, and I do believe that all immigrants should do so legally and follow all the requirements to become an American citizen unless on a Visa, but once the Visa expires they should be required to return home, or be placed in a program to gain citizenship. Migrants do many great things, and provide many great and needed services daily. They contribute to their communities and most (not all, but a lot of them) are genuinely decent human beings with good intentions. But I do not think a ""wall"" should be built or that immigrants or refugees should be discriminated against, mistreated, or unable to enter our great country.",opinion,test,True,True,True,True,True,True,True,True,True,True
66,Abortion should be legal for all. No restrictions at all for abortion. Kids should have abortions without parents permission. Abortion should be paid for by insurance and gov't.,opinion,test,True,False,False,False,False,False,False,False,False,False
67,"Marijuana is the root of all evil.. Even the legalization of cannabis for medicinal purposes was a crock. To legalize it for recreational use would be one more step in lowering the morality of the nation. Everyone knows that marijuana is a gateway drug to crack, heroine, and methamphetamines.",opinion,test,False,False,False,True,False,False,True,False,False,True
68,"People have the right to death if it is their choice or if they are not living their best life. If they cannot live a life the way it is meant to be lived, and they cannot perform the normal tasks that it takes to sustain life, such as eating and drinking and breathing, then they should be allowed to be killed painlessly if it is the choice of their family.",opinion,test,False,False,False,True,False,False,True,False,False,True
69,I think migrants should be allowed to enter the United States as long as they're properly documented. I don't believe that anyone should be rejected based purely upon the currently residing opinions of the citizens of the United States. I think it's a awesome privileged to be considered among the top destinations for migrants. I don't believe that a wall should be built to keep them out.,opinion,test,True,True,True,True,True,True,True,True,True,True
70,Cannabis should be legalized because it is not a dangerous substance. People who use it have seen many benefits and it has shown that it have improved people's health. The legalization is just a correction on the stigma that was created when a presidential candidate wanted to win more votes. Weed is not dangerous.,opinion,test,False,True,True,False,True,True,False,True,True,False
71,"I'm all for it... in moderation and as long as age appropriate rules and regulations can be set in place. Kids going behind the law to smoke marijuana is more dangerous than simply having it legal; however, I wouldn't endorse it for teenagers. I think it is okay for adults who don't rely on it to function or who openly smoke around their children constantly. Education and moderation is everything, plus this would be a great source of income for America and it is not a dangerous drug like crack or cocaine.",opinion,test,True,True,True,True,True,True,True,True,True,True
72,"I believe it should be legal for the first 2 trimesters and allowed in extreme cases for 3rd trimester. Personally, I would try to dissuade a girlfriend from getting one, but would also help her if she decided to. If it was a close friend, I would think twice about butting in. But I definitely don't feel that I should have any influence over someone else. And, any religious position should have no influence because we're not ruled by religion.",opinion,test,True,True,True,True,True,True,True,True,True,True
73,Cannabis is wrong. We need to control everything and everyone. No one can make a decision on their own. We cant let people use it for medical purposes even if it helps tremendously!,opinion,test,False,False,False,True,False,False,True,False,False,True
74,"I feel that gay marriage should be allowed as long as it's not marriage in a Christian sense. This means that they should be allowed to legally marry (under law). However, to force the Church to recognize that it is marriage under God's design is what I don't agree with.",opinion,test,True,True,True,True,True,True,True,True,True,True
75,"i believe that cannabis should be legal. currently legalization has occurred in some of the states. all 50 states should legalize it. not only for medical usage, but also recreational. it is no more harmful than alcohol.",opinion,test,True,True,True,True,True,True,True,True,True,True
76,"Our policy on migrants is too light. There should be mounds of paperwork and many tests to make sure the migrants can read English and hold a job, that no one else in America would want. All immigrants should be put under strict conditions to stay in America. All people with green cards should be put up for a review as well.",opinion,test,False,False,False,True,False,False,True,False,False,True
77,I think Abortion should be illegal. A live child cannot be murdered under any circumstances. This should be outlawed nationally.,opinion,test,False,False,False,True,False,False,True,False,False,True
78,First of all I believe in God and am a practicing Christian. I believe in both the santity of life and a reverence for life. I do not think it is permissable to let a women choose life and death for her unborn child. I oppose abortion.,opinion,test,True,True,True,True,True,True,True,True,True,True
79,i think that women don't have the right to choose if their baby lives or dies. they shoudve used birth control and now its too late. abortion is something that the government has the right to control and should. it would benefit everyone to take abortion completely off the table.,opinion,test,False,False,False,True,False,False,True,False,False,True
80,"I think that gay marriage is the same as straight marriage. All marriage is marriage. It should be legal everywhere, but some countries do not believe this. Also, I don't think it should be called ""gay marriage.""",opinion,test,True,True,True,True,True,True,True,True,True,True
81,"Cannabis is a dangerous drug and should not be legal. Anyone caught with cannabis, whether to sell or for their own use, should be jailed for life. Cannabis can kill people. Also, if someone who is high tries to drive, they could kill another person, which is absolutely unforgivable. This drug should not be available to anyone.",opinion,test,False,False,False,True,False,False,True,False,False,True
82,"Marijuana should be legal. The simplest argument to make is regarding alcohol. Alcohol cause many traffic deaths, and numerous health problems, yet it remains legal. This is to say nothing of the countless lives driven by alcohol addiction. Cannabis is not perfect, but the science regarding health benefits for sick people, or others suffering from anxiety is solid.",opinion,test,True,True,True,True,True,True,True,True,True,True
83,"Abortion is murder. A child has a heartbeat at just 22 days post conception. Most women don't even know they are pregnant that point. By the time they realize they are pregnant, their baby has a beating heart and the beginning of the brain stem. You are ending a life when you abort a baby.",opinion,test,True,False,False,False,True,True,True,True,True,True
84,It is immoral for two people of the same sex to marry. Marriage is for a man and a woman only. The Bible says that marriage should be between a man and a woman. Gays are breaking God's law.,opinion,test,False,False,False,True,False,False,True,False,False,True
85,"I think ultimately abortion should be left up to the woman carrying the fetus what she decides to do. The immoralities and stigma surrounding the subject are usually beneficial to the opposite sex, who don't have the same experiences of carrying a baby to term. Especially in the scenario of rape, incest, or other abusive situations where a baby may cause more harm than good to an already detrimental case. There should be a limit on when an abortion can be had based off the developmental stages of the unborn child.",opinion,test,True,True,True,True,True,True,True,True,True,True
86,"God gave life to a human being, and only God can take it away.",opinion,test,False,False,False,True,False,False,True,True,True,False
87,We should allow any and all migrants in. They do not cause problems. They help the economy. They make the country better.,opinion,test,False,False,False,True,False,False,True,False,False,True
88,"Abortion is completely wrong and should never be allowed in any circumstance. Any way you look at it, it is murdering a helpless baby that never had a chance at life. If a mother does not want her baby, she should give him/her away for adoption. There are hundreds of thousands of families who are unable to conceive but would happily adopt a baby.",opinion,test,False,False,False,True,False,False,True,False,False,True
89,"I believe in the act of euthanasia. If someone or something is in pain beyond repair, they should have the right to choose euthanasia. It can put an end to a painful situation. No more pain.",opinion,test,True,True,True,True,True,True,True,True,True,True
90,"I do not believe in euthanasia. Life is too valuable to put another person down, regardless of their suffering. Euthanasia should be outlawed in my country. PAD causes more harm to families than it helps those suffering.",opinion,test,False,False,False,True,False,False,True,False,False,True
91,"Marriage is a sacred bond between a man and a woman. Period. The Bible tells us that homosexual behavior is a sin. Therefore, gay marriage is a sin and should not be tolerated. Homosexuality is a learned behavior and should be beaten out of a person who declares themselves to be gay. It is an abomination to permit gay marriage. God will punish all who approve of this immoral act.",opinion,test,False,False,False,True,False,False,True,False,False,True
92,"I'm definitely against illegal immigrants coming to this country. We have specific laws and legislation in place to accept any immigrant legally. I feel like any illegal migrants who enter the country make it unfair for those who have waited years to become legal citizens. This country was founded on immigration, but it was legal immigration. My ancestors waited on Ellis Island to be documented and fully embraced our country and flourished.",opinion,test,True,True,True,True,True,True,True,True,True,True
93,"I think this should be legal for medicinal purposes. If it were to be legal for recreational purposes, more rules and regulations need to be put into place. People say, oh pot doesn't impair you like alcohol can, but I disagree! There needs to be more guidance and rules on how this should be managed for recreational purposes. But for people suffering from diseases that cannabis can help, by all means, this should be legal.",opinion,test,True,True,True,True,True,True,True,True,True,True
94,I think the policies protect the united states and keep control on our financial situations and also any outside information coming to the united states and possibly diseases.,opinion,test,False,False,False,True,True,True,False,True,True,False
95,"I believe that gay marriage is acceptable in today's society. I personally do not identify as a gay man, but I do believe men and women alike have the choice to decide who their partner/partners should be whether it be with the opposing sex or the same sex. I understand that gay marriage goes against religion. I also understand that gay marriage goes against our ""primal instinct"", but who are we as people to deny a man or woman from being with the person that they truly feel they love.",opinion,test,True,True,True,True,True,True,True,True,True,True
96,"I am fine with the legalization of cannabis. I believe that it should be regulated and heavily taxed, and that if this is the case then legal cannabis is definitely preferable to illegal cannabis distribution networks. I think that people should be well-informed about cannabis use, and that even more research should be done on the effects of cannabis use than has been done, and I don't think everyone should smoke cannabis habitually. But I think it's fine for people to smoke cannabis as it suits them. I don't necessarily prefer the legalization of cannabis strongly to the decriminalization of cannabis.",opinion,test,True,True,True,True,True,True,True,True,True,True
97,"I believe that every man, woman, and other should be able to get married in any state they choose. It shouldn't matter to others, because it's not their life. You can't help who you fall in love with, and your actions based on those feelings is nobody elses business. Marriage is between two people who love each other and want to spend their lives together, their gender should have nothing to do with it. Gay marriage should be legal in all states no matter what. It should not be up to the government what someone wants to do behind closed doors.",opinion,test,False,True,True,False,True,True,False,True,True,False
98,"Euthanasia provides an ethical way to act out the death penalty. Criminals can receive the death penalty in certain states if they commit a murder (or multiple murders). As long as the euthanasia is administered properly, then the act is moral. Many times, however, this is not the case and it is given improperly. Unfortunately this causes suffering for the prisoner in their last moments of life.",opinion,test,True,False,False,False,False,False,False,False,False,False
99,There seems to be no policy on migrants. There should be a comprehensive policy on immigration. Migrants while help the economy also bring down wages . Migrants are abused also. So there should be a good policy on migrants,opinion,test,True,True,True,True,True,True,True,True,True,True
100,"I am totally opposed to the idea of destroying a life that has no chance to fight for itself. It can lead to women getting rid of babies due to their irresponsible behavior or because they don't want to be bothered to spend their youth and energy raising a child. As for unwanted babies or pregnancies due to rape or incest, there are so many childless couple waiting to adopt.",opinion,test,False,True,True,False,True,True,False,True,True,False
101,"I think it's terrible to take away a life regardless of the reason. If someone is suffering, too bad, that's life, let them live their full life and don't cut it short. You can't play god.",opinion,test,False,False,False,True,False,False,True,False,False,True
102,"This is an issue that I have considered often.  I've had to make the decision to euthanize dogs inthe past, and that still tears at my soul. I cannot imagine how difficult it must be to make that decision for a human being. Having said that, there is a point at which you cannot allow the suffering to continue, but I think it would be awful.",opinion,test,True,True,True,True,True,True,True,True,True,True
103,"The human spirit is an amazing thing. No one should be forced to stay in a place where they feel impeded or prosecuted. As such, everyone should be able to emigrate to whatever new home they wish to make for themselves. The concept of borders and fences is outdated and an artifact of wars and battle lines. To say otherwise is merely racist and amerio-centrist. We need to be more welcoming and we need to emigrate more as a people, even to countries in better need of our values and outlook on life. This is a solemn duty for us to fulfill as a people. We can do it.",opinion,test,False,False,False,True,False,False,True,False,False,True
104,"Only God can decide when and how someone will die. People have no right helping others to die, that is God's job. Medical professionals are to keep people alive, not help them to die. It is against God's will to expedite death. No one has the right to decide how they should die.",opinion,test,False,False,False,True,False,False,True,False,False,True
105,Gay people are so gross. I can't stand seeing them kiss in public. I really hope that my daughter doesn't turn out to be gay. It will break my heart.,opinion,test,False,False,False,True,False,False,True,False,False,True
106,"I think there are very valid reasons for abortion to be available to the public. In an ideal world, it would be the combined agreement between a man and a women regarding whether or not to have an abortion. When this isn't possible though, it is ultimately a question focusing on a woman's body and her decision on whether or not to keep a fetus. I should also note that I don't support to use of abortions as an all-around safety-net for unplanned pregnancies (i.e. the individual who chronically and willingly has unprotected sex). With regards to the religious opinions on abortion: Get your rosaries off my ovaries. My body, my choice.",opinion,test,True,True,True,True,True,True,True,True,True,True
107,"I think that abortion should be decided by the person who is pregnant with the child. I do not think we should judge the person who makes the choice to have an abortion as there are many reason that a person might choose to go this way. If the baby is a product of rape, abuse or will cause harm to the mother, she should have the option to choose to not have the baby. Even if you personally would not take that route, it is not for me to say that someone else should not be able to do so.",opinion,test,True,True,True,True,True,True,True,True,True,True
